comments,sentiment
bapak prabowo buka lapang kerja seluas2nya ekonomi rakyat dongkrak usaha mikro kecil tengah hidup bahlil copot segera,Negatif
bagus informasi semangat moga amanah sesalu bapak purbaya,Positif
lemah daya beli masyarakat sekarang cermin belum maksimal dana 200 t serap sektor swasta arti banyak endap perban,Negatif
doa bangsa depan jadi lebih baik bijak angkat ekonomi rakyat doa untuk bapak purbaya yudhi sadewa hidup indonesia,Positif
saudara bennix bahas pandang prof latuhihin thd bijak bapak menteri uang,Netral
bravo bapak menteri purbaya rakyat dukung gebrak bapak jooss,Positif
bapak jangan bahas bank rakyat indonesia mulu bahas bmri dong bank lain,Netral
textil jalan rakyat tidak nganggur baru ekonomi rakyat jalan,Positif
jelaspenting banget mampu bayar masyarakat baik tinggi pasti dapat masyarakat jamin,Positif
kalau turut serap tidak banyak serap stimulus banyak waktu jaman covid sudah banyak debitur ambil kredit beban utang 2 kali lipat ambil kredit sok debitur pikir 2x tambah utang bank adapun debitur baru mau buka usaha tidak banyak karena kondisi ekonomi tidak buat ragu ragu khawatir kembang usaha mereka salah satu sebab mangkas transfer daerah ekstrim buat banyak daerah indonesia tidak siap hadap kondisi gerak ekonomi jadi kalo bilang bank akan untung 200 terlalu naif,Negatif
200t deposit on call himpun bank milik negara langsung sektor riil produktif bank tidak perlu takut jamin damping perintah bank produksi distribusi konsumsi lancar usaha mikro kecil tengah naik ekonomi gerak moga wujud,Positif
tidak mudah lho kucurin dana publik perush nasional baik saudara purbaya sedikit tahu survey ilmiah mana akan scalakan prioritas jenis usaha cor bisnis kalo tepat insyaalalh tingkat hasil atas angka pesimis 60,Netral
untung pidato purbaya sendiri menyakinkan masyarakat tetap ekonomi lesu lapang kerja tidak sami mawon,Negatif
good job for ser purbaya,Positif
saya pribadi emiten akan sangat untung 1 bbtn kredit rumah dana kecil leverage besar sampai 34 growthnya 2 smgr 10 jenis 3 usaha badan usaha milik negara anggap wika jenis 4 astra multifinance kredit kendara motor sekian,Netral
bank perintah badan usaha milik negara beri bunga rendah bank bank swasta lain pinjam bunga ringan khusus masyarakat tengah bawah kalau usaha usaha baik bunga beda uang rakyat kelola balik rakyat cara ikan bunga kecil biar rakyat kelola tuh uang,Positif
ini dorong bank lebih mudah cipta produk bank lebih tarik masyarakat investor,Positif
berkah 200t purbaya saya kredit usaha rakyat buat buka cabang toko walaupun normal harus tidak sebab yang belum penuh syarat,Positif
purbaya bennix bein beres ekonomi indonesia,Positif
kata kata bijak bapak menteri uang positif kasar negatif no no no sikat nice bapak menteri uang,Positif
ah mulai besuk mau pinjem bank ah bye ito ito,Netral
bravo purbaya tulus nkri rakyat siap kawal sekarang rakyat baru tahu kalau negara krisis rupa main uang bank moga uang ke desa biar ekonomi putar rakyat sejahtera terima kasih atas informasi rakyat tahu siapa bersih siapa kotor,Positif
arah dapat bank rakyat indonesia bukan tempat benix invest jadi kasih arah tempat bank invest di akhir video pintar lu saudara promosi tanpa lihat,Netral
bagai rakyat kelas bawah pikir kalau ekonomi masyarakat bawah jalan bisa pasti ekonomi nasional tingkat daya beli tingkat,Positif
saham tumbuh lebih cepat usaha investor selalu jadi pihak rugi benjamin graham,Netral
saudara bennix nilai sisi fundamental usaha uang,Netral
biar dikit tanggung jawab pantau harga sembako ya thanks,Netral
lesgo bapak ben,Netral
pidato beliau bapak purbaya kan himpun bank milik negara tanya kalo buat sektor otomotif lalu bapak purbaya jawab bebas asal jangan beli dolar situ jadi tahu kalo masa mereka sangat batas punya takut sendiri guna uang negara bahkan lebih enjoy minta ganti rugi ketimbang coba lang bapak purbaya bisa asih jalan yang terang dirut tanpa batas walaupun beliau cuma bikin stetmen asal jangan buat beli dolar mantap,Netral
ingat guys jelang akhir tahun banyak tukang pompom saham bandar sudah nampung banyak kemarin mau buang mau closing,Netral
keren bapak purbaya,Positif
mungkin banyak es cendol pesimis uang 200 triliun takut tidak korupsi rasai tikus tikus makan uang negara semangat terus bapak purbaya selalu doa mu program tetap lancar sukses mantap,Positif
salah satu profesor indonesia kerja belanda protes lupa nama muncul ilc kemarin kemarin,Netral
kata m0 m1 lebih agregat demand barang jasa akan jadi inflasi tambah laju bagaimana imbang nya sehat jangan lantas tidak selektif import tanya tuh saudara purbaya dong,Negatif
uang terima bapak purbaya paling pakai buat lunasin utang utang anak bank rakyat indonesia akan parah dampak baca banyak anak anak usaha bank rakyat indonesia punya utang baca,Negatif
cair dana sebut lebih baik rekomendasi desa cair pada bank ribet pertanggungjawaban desa,Negatif
bung bennix tidak maksud apa mungkin edukasi terima kasih dalam narasi nya cenderung pojok bank tentu adalah salah satu bagi bank tentu sebut indonesia raya sampai pelosok bung bennix mungkin belum tau sendiri kerja salah satu daerah cukup pencil bagaimana kerja keras jangkau layan daerah2 pencil dukung program perintah masyarakat sampai daerah2 pencil sendiri adalah laku langsung turun lapang sosialisasi edukasi hujan panas lalu demi indonesia raya mungkin bung benix sape kiamat tidak bakal jujur sedih sekali dengar boleh bung bennix terus edukasi masyarakat bagus sekali saya terus abdi diri unk indonesia tenan2 lain pasti cara juga pasti laku sama semangat bung bennix tuhan kati,Netral
benar benar tega koruptor apa tidak mikir lihat banyak orang susah sedang juang lawan miskin hidup bapak prabowo bapak purbaya,Negatif
bapak purbaya kan jelas tempat uang perintah besar 200t bank2 himpun bank milik negara tambah likuiditas uang masyarakat uang salur masyarakat kredit usaha bagi mungkin kredit konsumsi jadi tuju bukan untuk naik harga saham bank2 himpun bank milik negara group saham mempompom saham bank2 himpun bank milik negara akan naik 200 akibat tempat uang perintah besar 200t jangka pendek memang keliru,Netral
waduh benernya saham apa dink saudara benn untung telekomunikasi industri hilir perban kan spesifik apa mau ikut big belum mampu nih pengin banget saudara benn,Netral
hari pasar sangat sepi dana himpun bank milik negara drop bank plecit bank pinjam online pay later,Negatif
untung bsi soal bank separohnya rentenir tidak lunas lebih cepat kwcuali bayar sebunga2nya,Negatif
fakta begini saudara ben laku kredit bank buat ngembangin usaha bank kasih bunga 12 margin usaha paling bagus rata 10 mankanya sekarang tidak mau pinjem bank,Negatif
200t uang cetak alangkah baik uang bayar utang tak mungkin guna uang cetak bayar hutang,Negatif
50k like bapak bennix,Netral
cerdas banget nih saudara benix cocok jadi menteri,Positif
bagus perlu kasih tekan enak gaji gede tidak mikir suruh mikir top,Positif
tuju himpun bank milik negara punya andil besar bangun ekonomi bangsa,Positif
betul tugas dirut gaji luar biasa mikir bagaimana salur buat nasabah benar butuh buat usaha bayar tidak macet,Netral
moga selalu info info penting perintah rakyat,Netral
jangan cuma usaha besar jadi target kreditur penting usaha mikro kecil tengah dari mereka ekonomi putar banyak usaha mikro kecil tengah sulit dapat pinjam,Negatif
bubar badan usaha milik negara selalu rugi rakyat muak lihat maling maling das,Negatif
ayo bapak purbaya bongkar semua bobrok uang negeri,Positif
dirut kalo suruh salur dana kredit usaha pusing kalo korupsi cepat banget,Negatif
menteri uang ri bapak purbaya yudhi sadewa tuju presiden ri bapak prabowo subianto insyaallah tidak salah pilih menteri uang ri ini tuju henti tidak hormat pecat direksi direktur kepala divisi kepala marketing tidak salur kredit macet pecat dana beri perintah bunga pinjam turun masuk bijak nasabah nasabah kredit jika lunas pinjam mudah 1x 24 jam tidak kena biaya administrasi lain moga bapak purbaya yudhi sadewa sehat selalu sama keluarga amin rabbal alamin,Positif
direktur gaji gedhe pada malas mantab bapak menteri uang,Negatif
bapak purbaya sih kotor2 utama jabat pegawai pajak korupsi ribu triliun,Negatif
perlu audit skala besar semua bank perintah lihat tidak beres sedikit langsung pecat ganti kompeten enak2an 10thn,Negatif
mantap pecat jabat bank tidak prestasi,Positif
jadi pikir purba dia bikin bunga bank turun banyak salur usaha ingin pinjam uang soal kalau bunga tinggi usaha kurang pinjam bank nah bank suruh kreatif bagaimana cara bisa salur uang semua nih jalan cuman 1 turun bunga bank kira kira cara pikir purba,Netral
mantab terobos dana serap pasar cepat naik tumbuh ekonomi,Positif
jangan pecat siruh pertanghung jawab kredit macet suruh ganti,Negatif
mantap bapak joss banyak mau kerja baik jujur amanah rajin,Positif
bukan pecat doang bapak hukum mati kembali 200t,Negatif
wah dirut bank panas dingin,Netral
himpun bank milik negara rupa singkat himpun bank bank milik negara,Netral
laku usaha pernah ngambil kredit usaha masalah sekarang bila ambil kredit usaha tetap jalan tempat memang cuaca usaha sekarang susah tidak lancar barang habis uang habis tidak paksa ambil kredit masalah,Netral
moga bapak dirut punya banyak ide nyalurkan dana gelontor menteri uang,Netral
bukan di pecat pidana jika memang jadi lalai salur kredit,Negatif
tuju utama nya negara maju rakyat nya tanpa banting tulang banting tulang pihak 3,Netral
kredit macet karena bunga ringan sulit coba bunga gedde gampang banget cainya nyata lapang,Negatif
halus ter arah lihat para dirutnya memang pantas jadi dirut badan usaha milik negara ataw tidak kau tidak becus pecat periksa audit apa menteri biar ini mkiikir enak az gaji gede tidak kerja maksima,Negatif
sikat semua bapak benah ekonomi negara rakyat indonesia siap pasang badan ada macam macam punya power of netizen,Positif
hati hati bapak salur pinjam online cekik rakyat gara gara bunga tidak masuk akal tertib pinjam online ilegal legal suku bunga tinggi,Negatif
korupsi hukum gantung tengah ramai biar koruptor jera terus seluruh aset rampas negara,Negatif
bikin suka begini tidak lagi komisaris dirut abal abal semua sesuai kompetensi kerja nyata tidak cuma ongkang ongkang ibarat tanpa nodong kasih tugas kelar,Positif
ingin jegal makmur indonesia siapa lawan bapak tenang rakyat sama bapak lawan hajar pecat penjara,Positif
ke rakyat indonesia sejahtera,Positif
tegas memang bapak purbaya sama tidak becus kerja banyak pintar jujur amanah,Positif
salah satu masalah perban tingkat salur kridit mangkanya laba perban nyaris tidak tumbuh guyur uang 200 t jelas buat direksi bank himpun bank milik negara tambah pusing cari kriditur potensial satu kridit tidak tumbuh lihat deviden tinggi,Negatif
tuju jangan rakyat peras sekarang waktu jabat gawe yang benar jangan enak enak,Positif
siap mungkin kredit macet,Negatif
iya kontradiksi bijak ampun kredit macet ukm perintah menteri uang harap bank berhati2 salur kredit,Negatif
situasi ekonomi masyarakat saat resiko tinggi beri kredit,Negatif
macet biasa nya rakyat kalau pinjam uang tidak sanggup nyicil jaman serba sulit,Negatif
rakyat butuh pinjam cicil nya tidak berat kan rakyat turut adil bangun,Netral
dirut nyantai tidak mau salurin mending amin daripada macet pecat,Negatif
tuhaan kami indonesia terus tambah pejabat2 p purbaya suka maling2 uang rakyat pergi hilang terus entah p purbaya pecat pejabat2 yang tak mampu maju bangsa maling uang rakyat,Negatif
hambat langkah laju putar ekonomi indonesia tumbuh tidak,Negatif
lah maksa salur dana cari pinjam tidak hasil pecat enal benar kerja kayak begini,Negatif
sih aksi lempar tanggungjawab bungkus narasi gerak ekonomi zaman susah ada tingkat macet tinggi malah bukan muter nyangkut,Negatif
rakyat kecil kena slik ojk bapak menteri bagaimana minta kredit,Negatif
baru kontrol pas tinggal aplikasi lap kawal terus bapak,Netral
bapak purbaya tetap sehat selalu,Positif
kredit usaha rakyat bilang buat bantu usaha kalo rakyat mau usaha baru tidak angunan jangan harap,Negatif
tekan kerja keras tugas bank kan kembang dana bernanfaat saudara rakyat kalau macet kesana aneh,Netral
kalo macet kan sejahtera rakyat,Negatif
pecat bapak rakyat kerja swasta perkara kecil pecat dirut perkara hajat orang banyak orang pintar indonesia banyak bapak,Negatif
kondisi ekonomi masyarakat lemah sangat pengaruh daya beli kalaupun kreditur besar maupun usaha mikro kecil tengah kucur siapa mau beli itu akibat kredit macet massa hendak hasil pajak masyarakat kucur dulu bantu masyarakat beli semua butuh hidup sini usaha mikro kecil tengah bisa kucur kredit jadi ekonomi mikro gerak otomatis ekonomi makro akan dongkrak akar masalah ini rakyat tidak mampu beli apa ini negara perhati hadir bukan analisis lapor data real yang ada di lapang,Negatif
kalian tau jangan bodoh panjang semua rencana prabowo 1 ikut siapa penting jadi presiden dulu 2 jadi presiden jangan mau setir 3 guling seluruh menteri bawa jokowi ganti baru benar benar mumpuni 4 copot gibran pelan pelan sama rakyat 5 adil sosial seluruh rakyat indonesia sabar kalian semua tidak mudah balik tangan butuh waktu yang tepat akurat bapak prabowo mohon doa nya,Netral
tuju ada target bapak kalo dikucurin dana dirut2 tidak kerja enak dong,Netral
benar bapak rakyat mau ngajuiin kredit susah tengah mati lah usaha hutang banyak nunggak n masalah masih di akal akalin biar dana keluar kerja orang bank uang malah bagi mereka dasar maling,Negatif
masih banyak layak jadi dirut inovatif insya allah,Netral
kredit paling susah apa orang miskin kita,Negatif
betul tidak manfaat nya badan usaha milik negara gaji dirut tak kerja baik negara butuh kerja keras bos,Negatif
ekonomi lesu macet kasih naik upah kerja pensiun asn tni polri lancar belanja pasar dagang tani nelayan bisa sejahtera sama,Negatif
awas harus ketat jangan kredit kucur usaha usaha milik kroni kroni politik ujung ujung nya macet uang negara bawa kabur hal blbi,Negatif
turun hrg listrik bensin hapus pajak resto daya beli rakyat naik usaha jadi maju tidak mandeg cicil,Positif
dirut bank n anak buah stres nyalurin uang triliun kalo kredit macet risiko pecat n pidana kalo tidak nyalurin bunga jalan tanggung bank buat kembali kemenkeu salurin risiko tidak balik imbas nanggung kasih bunga rendah buat kreditur risiko rusak suku bunga bank swasta masih tinggi jelas jadi saing tidak sehat antar bank badan usaha milik negara swasta kalo lambat salur bunga jalan tanggung bank akibat bank jadi rugi kalo kecepetan risiko salah guna n imbas kredit macet n bank rugi ibarat 1 bank di jatah 50t bulan bunga 2t sdgkan laba bersih bank mentok 500m terus 1 5t nya cari darimana kalau mau nurunin suku bunga pinjam kreditur risiko ya macet n nipis laba bersih akan rugi bank buat balikin sin otak cerdas dirut bank badan usaha milik negara di uji bisa urus undur diri kalo otak tidak sanggup maju takut salah diam jelas salah mundur cari aman,Negatif
rakyat kok takut macet,Netral
jangan cuma taruh sistem bapak di jalan suku bunga turun mudah ikan kelongaran pinjam usaha mikro kecil tengah hasil minim,Negatif
se7 banget sama statementnya bapak purbaya pecatin tuh dirut bqnk himpun bank milik negara males2an ganti yang rajin cerdas bersih,Positif
tuju bapak banyak dirut cuma pintar salur kredit tidak tanggung jawab kembali cuma kejar target paksa tidak prinsip hati hati,Negatif
lah percuma bapak bukan modal di penting sekarang di penting sekarang mah berantas barang impor murah atur main harga tak wajar baru modal,Negatif
press tross bapak menteri uang target minggu bulan ampek tahun jangan kasih kendor mana propitnya larang credit macet kalo macet tanggung tidak suka resign ngelamar kerja ada tulis sedia ada bawah tekan yel yel pagi pagi pagi jangan buat bawah yang atas kayak juga buat bapak,Negatif
kucur dana jadi data nasabah macet besar laku koruptor perlu lidik kalau seleweng di pidana,Negatif
buka lapang kerja banyak banyak orang tidak mampu jangan batas umur tua mau sama sama cari makan sejahtera rakyat baru benar,Positif
uang nganggur bank tak salur kredit bejibun beli sbn ekonomi sedang lesu saudara,Negatif
bapak bersih bersih bapak,Positif
alih bapak gaji honorer kata daerah tidak mampu angkat honorer jadi pns,Negatif
sering kasih kredit malah suka macet benar malah tuju,Negatif
bank perintah layan sangat buruk banding swasta antri ampun deh,Negatif
buka usaha daya beli rendah omzet tidak nutup tidak kembali semua nganggur,Negatif
betul bapak badan usaha milik negara kalo rugi suruh presiden pecat gaji tiap bulan ratus juta tetap rugi kapai gaji kalo,Negatif
bapak menteri jadi musuh orang bank mereka pusing kuat bapak,Positif
goodjob bapak purbaya,Positif
tuju kata bapak purbaya masa dirut bank enak enak gaji besar tunjang besar bonus besar,Positif
tidak langsung bunga bank rendah hapus pinjam online asal syarat pinjam mudah sesuai tentu,Negatif
ada masalah orang orang salur uang,Netral
dar pandang bank himpun bank milik negara kucur dana kop merah putih kemudian kop mp estafet salur kredit masyarakat desa kredit risiko lebih piawai meng analisa bidang tentu pihak perban tidak pusat kan kredit usaha rakyat toh bila kop mp sama proses analisa salur kredit tinggal tempuh jalur ada tinggal awas masyarakat desa sudah kompleks soal hidup lebih perangkat desa nya saat jelma jadi manusia super demikian perangkat desa hidup tanpa tunjang andal siltap terkadang tak cair cair lihat lah bawah turun lah desa kalian tau apa yang jadi desa,Netral
tidak cukup kalo cuma pecat bapak dirut harus bertanggungjawab penuh atas bijak tidak enak gelontor kredit,Negatif
kreditur besar cari kreditur merah putih kreditur kecil cari kreditur status aktif ambil bayar sesuai jadwal kayak pernah laku bank pembiyayaan kredit motor bayar tidak pernah nunggak ditawarin terus jadi nasabah husus,Error
lama banyak salur laku usaha mikro kecil tengah dada dapat rekomendasi parpol,Error
turun pajak cukai biaya perijinan retribusi usaha bangkit uang 200t serap dunia usaha bagaimana dapat teman,Error
dirut malas mau nikmat fasilitas mewah tanpa mau kerja keras di ganti,Error
cara cerdas beliau direktur pegawai2 bank banyak hasil kaya diri uang2 tabung rakyat masak tidak nahlukin dolar rupiah jadi naik enak mau hidup enak uang nasabah bank ini inovasi keren nih kerja kerja,Error
pinjam bank bank rakyat indonesia kota pangkal pinang bunga nya sangat besar 1juta bayar pokok bayar bunga 2juta delapan ratus sungguh berat kan bagai mana mau maju,Error
moga ahli ekonomi satu maju negara,Error
awas bapak ketat jangan lupa,Error
rakyat dukung tingkat ekonomi rakyat bagus,Error
menteri uang bawa berkah moga ekonomi jalan sejahtera rakyat menteri uang amanah,Error
moga dampak positif ide bapak menteri uang awas ketat petinggi bank badan usaha milik negara yang berkwalitas jujur amanah,Error
amin bravo bapak menteri moga amanah harap di bapak bukan di kemarin sudah beberapa periode bikin menang rakyat kata pintar lebih tepat pintar nyekik rakyat,Error
hebat menteri uang langsung serang pokok masalah sangat berani baik ekonomi indonesia sudah acak kadut baru kerja tau masalah 10 jempol menteri uang baru,Error
jangan puji dulu biar waktu bukti uang hasil uap korup,Error
moga trdampak rakyat kecil moga rakyat semkin makmur,Error
baru menteri uang benar bila perlu dana hasil korupsi di pakai untuk penting rakyat,Error
dampak positif insyah allah,Error
moga masyarakat indonesia hidup layak tampa beban hidup sulit terima kasih bapak menteri uang,Error
aku dukung teman semangat indonesia bangkit,Error
sangat tuju uang negara guna tepat sasar utama rakyat kecil orang lebih butuh,Error
alhamdulillah moga ekonomi indonesia bangkit moga menteri baru terus amanah selalu bijak tutur kata,Error
moga ruu ampas asset koruptor nila trilyunan di manfaat penting rakyat,Error
ayo masyarakat dukung bijak kemenkeu nkri jadi lebih baik sudah capek lalu hari gelap lama di indonesia gelap moga depan jadi indonesia terang kita punya harap apalagi kalo aset2 koruptor sita kembali makmur rakyat,Error
betul yang penting tepat sasar tidak korupsi,Error
moga damai indonesia sejahtera semua rakyat amin,Error
moga uang besar di awas baik nkri,Positif
luar biasa bapak baru beberapa hari jabat menteri uang kejut rakya indonesia kerja bapak sangat bahagia arti langkah awal tuju sejahtera masyarakat indonesia moga rata bapak jangan yang tidak adil salur,Positif
baru gebrak hebat luar biasa bangun hidup rakyat pikir sejahtera rakyat baik baik moga benar benar nyata terrealisasi,Positif
assalamu alaikum moga bisa kuat ekonomi sabang merauke jabat usaha asn honorer mahasiswa seluruh rakyat indonesia tengah bawah bisa tahan minimal hingga 5 tahu bisa tambah kembali uang kas negara simpan bank indonesia banyak 400 triliun sebut jadi lipat lipat amin,Positif
nah pihak bank dong support usaha mikro kecil tengah program didik memang saat usaha mikro tumbuh,Positif
moga kawal awas arah bimbing tuju capai,Positif
dukung benar gebrak menteri uang guna program usaha makro,Positif
alhamdulillah moga dapat menkiu jujur tegas punya hati nurani tidak di otak atik pejabat2 negara manusia2 licik jahat timbang nasip rakyat,Positif
moga sesuai harap rakyat indoesia amin,Positif
sinergi menteri dagang industri investasi pol tni luas pasar hingga luar negeri,Netral
moga bijaksana nya bawa baik indonesia moga dana benar amanah tidak jadi bancak koruptor2 harus awas ketat salur wajib awas monitor,Positif
moga ekonomi rakyat usaha mikro kecil tengah pulih dan cipta lapang pkerjaan mntap menteri ekonomi baru good job indonesia kibar sang saka merah putih merdeka3x takbir,Positif
moga ekonomi indonesia makin baik,Positif
kalo masalah uang cair buat ceria orang,Netral
tunngu hasil dampak buat masyarakat,Netral
kuat ekonomi lalu nilai rupiah naik masyarakat akan makmur bisa stabil ekonomi lanjut bapak makmur masyarkat putar baik keli baik kawal bapak menteri bank,Positif
lama sengaja putar uang negara tahan pihak tak tanggung jawab lambat putar ekonomi indonesia moga indonesia makin maju oligarki jabat koruptor musnah indonesia,Negatif
moga rakyat kecil seperti rasa dampak,Positif
moga perintah masyarakat kerja sama tingkat tumbuh ekonomi indonesia,Positif
moga bank nya amanah bisa bangkit sama rakyat,Positif
banyak kritik pdnya kita tunggu n lihat dulu beri sempat beliau bkrja moga hasil positif,Netral
gebrak perlu pantau sama jangan uang sebut guna hal rugi semua ter utama masyarakat indonesia panatsu,Negatif
semua syukur ekononomi lama belenggu sri orientasi imf tidak solusi buat rakyat bravo bapak purbaya,Positif
pikir rakyat indonesia banyak bawah garis miskin,Netral
kalau tidak kontrol cuma jadi bancak jabat bank kongkalikong harus kucur dewan wakil rakyat bikin statment dulu koruptor hukum mati awas hukum mati koruptor,Negatif
bank bank di kucur di monitor untuk nya,Netral
puji lupa segala kritik ingat semua,Negatif
terus bapak,Netral
moga menteri uang purbaya betul bawa indonesia arah lebih makmur adil adab amin,Positif
bismillah moga dampak ekonomi baik,Positif
gue demen nih gercep mudah an lancar bapak menteri,Positif
moga tidak kayak sritex korupsi pimpin nya,Negatif
10 tahun lalu maklampir penghisap darah rakyat,Negatif
kalo habis uang bantu bisnis usaha bukan rakyat sangat butuh modal paling ujung korupsi,Negatif
kasih gaji warga negara ri usia atas 60 tahun 3juta bulan baru tingkat ekonomi bangsa cepat putar uang jangan asn yang kasih dana pensiun,Negatif
bukan cuma pintar juga amanah tegas jalan tugas negara,Positif
moga tepat sasar bang amanah,Positif
pajak kerja industri hutan sudah tidak lagi hilir di tanggung bapak menteri uang,Netral
baru awal akan percaya kita rakyat bawah rasa langsung bijak baru percaya moga rakyat bantu cari nafkah,Netral
benar bapak menteri rakyat dukung,Positif
moga bank2 di tunjuk selalu bank nya sehat jangan jadi kasus blbi bank century,Negatif
lihat nanti dampak bagaimana ekonomi masyarakat belum jalan di puji puji moga dampak asa signifikan masyarakat indonesia,Netral
biasa awal hari hati awas ketat,Netral
asal jangan korupsiin yang bikin negara susah banyak yang korupsi inti kalau tidak negara kayak dulu,Negatif
mantap bapak moga sukses ekonomi indonesia,Positif
alangkah bagus kalo ide bapak menteri susul kesah uu ampas aset hukum mati koruptor,Netral
mau bentuk lapang kerja umr naik rakyat lebih makmur,Netral
tuju tetap tahap awas lebih ketat teliti,Netral
tinggal tindak koruptor bisa jadi modal bangkit ekonomi lesu,Netral
moga negara makin baik ekonomi damai selalu,Positif
kalo mau lancar dukung usaha mikro kecil tengah rakyat kecil uang paling cepat putar bawah kalo atas cuma timbun mandek,Positif
buru sahkan ruu sita aset koruptor di korupsi,Negatif
jangan kritik negatif dulu dari yang belum tahu sok tahu manusia tak yang sempurna tetap lebih masing ayo tunggu gebrakkanya,Netral
satu sembuh indonesia,Netral
bank himpun bank milik negara tidak kurang likuiditas kurang inovasi produk perban untung rakyat,Negatif
good good jangan lupa awas ketat,Positif
kucur dana insya allah jadi plexibilitas ekonomi jadi lebih leluasa suku bunga turun tingkat baik genjot dunia usaha lebih adab,Positif
moga depanny ekonomi indonesia stabil adany menteri baru,Netral
keren lahan korupsi buka lebar,Negatif
otw kredit buat tambah modal nih,Netral
betul bapak lama uang bagai rakjel selalu taat pajak guna giat produktif maju bapak fasilitas umum bagus bagus tranportasi umum tidak usang baru semua jalan rata bagus pelosok didik jamin saudara yang kurang untung tolong bahkan negara tidak bakal punya utang meski ngegelontorin uang bawah 200 t pasti kok kuat ekonomi fakta lama cuman digigitin tikus tikus yang serakah bagaimana mau maju kalo begini terus dulu sekarang negara kembang kategori kapan jadi negara maju capek rakyat cuman jadi donatur bawah mana songong sama gila hormat,Negatif
memang uang langsung mudah cair debitor mimpi kali cek bank indonesia senjata takut sales bank debitor,Netral
harus judol berantas dulu uang begitu banyak takut malah lari luar negeri,Negatif
penting awas bank nya salur awas nasabah jangan macet jangan pakai kredit importir wajib ekspor modal kerja bas lokal jgm yang bahan2 impor kawal kawal,Positif
tarik pajak tidak selesai masalah ekonomi benar ampas aset korupsi kemudian buka lapang kerja manfaat sumber daya alam baik,Negatif
benar mudah dana ini tidak korupsi,Positif
jangan terlalu sanjung lupa darat arogan naik lupa rasa hormat rakyat selalu tinjau kinerjannya,Negatif
suku bunga terlalu besar bank indonesia coba dong negera2 jadi tidak terlalu beban bunga tinggi laku usaha,Negatif
coba mutih ojk rakyat senang,Netral
segera cair pinjam para pensiun asn tani nelayan usaha kecil bunga ringan lunak mudah cair ekonomi gerak cepat,Positif
bapak tau apa harus laku segera laku moga kerja ekonomi indonesia makin baik selamat juang bapak moga tuhan selalu beri mudah buat bapak indonesia makin baik,Positif
simak dulu tunggu lihat hsl nyata masyarakat selamat kerja bapak sama nteri moga sukses,Netral
baru kali menteri terang benderang memang soal uang harus nyablak apa ada terus terang mantap bapak menteri,Positif
dukung terus bapak purbaya beri beliau waktu bukti,Positif
